merchant_id,merchant_risk_score,merchant_type
MERCH_0000,0.3509205650473963,Retail
MERCH_0001,0.4307456504924506,Services
MERCH_0002,0.03223146642253827,Retail
MERCH_0003,0.4240264353301816,Retail
MERCH_0004,0.8544451879567481,Retail
MERCH_0005,0.5427378330986758,Retail
MERCH_0006,0.06015337113789365,Retail
MERCH_0007,0.32316681275926384,E-commerce
MERCH_0008,0.18952302320814884,Travel
MERCH_0009,0.7849482320789307,Travel
MERCH_0010,0.9572457102933233,Travel
MERCH_0011,0.3866294999743898,E-commerce
MERCH_0012,0.9129973892763293,Travel
MERCH_0013,0.36749391991311664,Travel
MERCH_0014,0.754283752489525,Services
MERCH_0015,0.8183863975236362,Retail
MERCH_0016,0.40353142972788314,Travel
MERCH_0017,0.7964328565865942,Retail
MERCH_0018,0.7599688821744878,Services
MERCH_0019,0.9572340536057447,E-commerce
MERCH_0020,0.9188360054494837,E-commerce
MERCH_0021,0.6766487997700452,Travel
MERCH_0022,0.5463639124941388,Retail
MERCH_0023,0.1539216562320378,Food
MERCH_0024,0.48906999457517775,Food
MERCH_0025,0.38133043638347475,Retail
MERCH_0026,0.004676169261968899,E-commerce
MERCH_0027,0.35114263655208977,E-commerce
MERCH_0028,0.5851191390950943,Travel
MERCH_0029,0.66522907680735,E-commerce
MERCH_0030,0.7113975805885926,Travel
MERCH_0031,0.7036504572356684,Food
MERCH_0032,0.35803620251370216,Services
MERCH_0033,0.3248451745807829,Travel
MERCH_0034,0.16191790857738386,E-commerce
MERCH_0035,0.4388337142548111,Food
MERCH_0036,0.7236224114713633,E-commerce
MERCH_0037,0.5678049028821429,E-commerce
MERCH_0038,0.7254542676689163,Food
MERCH_0039,0.07863189609140397,Services
MERCH_0040,0.32817919520441374,Services
MERCH_0041,0.6563284712013329,Food
MERCH_0042,0.9845023225565188,Travel
MERCH_0043,0.065684224209133,Services
MERCH_0044,0.8722472252513581,Travel
MERCH_0045,0.20759283209117851,Travel
MERCH_0046,0.5436907530355781,Services
MERCH_0047,0.4994592063016591,Food
MERCH_0048,0.46434581116101104,Travel
MERCH_0049,0.12782979664322092,Retail
MERCH_0050,0.1606389029139511,Retail
MERCH_0051,0.423799970543418,E-commerce
MERCH_0052,0.5862489268672381,E-commerce
MERCH_0053,0.13901141357170865,E-commerce
MERCH_0054,0.287519668785288,E-commerce
MERCH_0055,0.6004866664484401,Travel
MERCH_0056,0.9962279696023718,Retail
MERCH_0057,0.6993464346058594,Travel
MERCH_0058,0.2995734907524462,Food
MERCH_0059,0.40537163915153596,E-commerce
MERCH_0060,0.5333671887780699,Food
MERCH_0061,0.39687901394396463,Travel
MERCH_0062,0.7256564936801249,Travel
MERCH_0063,0.3917130709723794,Travel
MERCH_0064,0.34582893215906196,E-commerce
MERCH_0065,0.04597101599775988,E-commerce
MERCH_0066,0.05180533315398683,Food
MERCH_0067,0.6488169905943098,Retail
MERCH_0068,0.3508032398982812,Travel
MERCH_0069,0.47241574792048713,Services
MERCH_0070,0.18226781900243394,Services
MERCH_0071,0.4481965263421087,Retail
MERCH_0072,0.1624621339058855,Retail
MERCH_0073,0.3452804548024049,Travel
MERCH_0074,0.10763636640297891,Food
MERCH_0075,0.6283296530221103,Services
MERCH_0076,0.507679696053591,Retail
MERCH_0077,0.23087861611834493,Retail
MERCH_0078,0.10949040600167348,Food
MERCH_0079,0.6869618924587201,Food
MERCH_0080,0.6142187573889412,E-commerce
MERCH_0081,0.6431540790699416,Food
MERCH_0082,0.6618875326750178,Retail
MERCH_0083,0.09338803797712625,E-commerce
MERCH_0084,0.7957132654275055,Retail
MERCH_0085,0.742124802236156,Services
MERCH_0086,0.16720691422228562,Services
MERCH_0087,0.690821117422203,Retail
MERCH_0088,0.5305861490489754,Travel
MERCH_0089,0.05220170266601343,Retail
MERCH_0090,0.6976711259403329,E-commerce
MERCH_0091,0.2959931585958546,Services
MERCH_0092,0.2402815891240213,Services
